neighborhood_council,2021,2022,2023,2024,2025,2026
LA-32 NC,40586.14,41273.88,35025.32,27680.96,33692.87,
LAKE BALBOA NC,28687.31,33727.88,35805.65,23714.86,32245.7,7249.91
LINCOLN HEIGHTS NC,28247.96,31750.52,18966.28,16669.61,35868.68,2785.32
LOS FELIZ NC,33408.64,33894.05,34741.02,43443.75,34715.2,13157.1
MACARTHUR PARK NC,38329.53,19252.31,17102.56,32684.69,41280.47,6727.58
MAR VISTA NC,36228.4,23591.82,33249.77,35140.62,29524.87,3194.42
MID CITY NC,29594.87,20564.86,44321.32,16286.92,26997.74,6183.14
MID CITY WEST CC,34290.43,32248.4,34035.3,33356.33,33601.65,8049.82
MISSION HILLS NC,17644.66,36323.38,19808.22,31555.85,32571.42,10487.45
NC VALLEY VILLAGE,37248.33,16429.38,48039.87,33610.85,28654.66,8554.78
NOHO NC,30784.52,32461.1,21275.79,36950.99,33949.5,3801.9
NOHO WEST NC,35508.41,41940.87,24769.27,35693.79,25513.88,19562.55
NORTH HILLS EAST NC,50966.59,28166.87,23226.13,33720.7,36742.63,13912.86
NORTH HILLS WEST NC,43382.35,32447.68,32258.83,23313.35,18149.33,2254.18
NORTH HOLLYWOOD NORTH EAST NC,27371.68,36491.22,13164.12,24019.33,49005.1,9503.44
NORTH WESTWOOD NC,34268.66,13500.0,22405.3,49487.13,31531.53,4024.78
NORTHRIDGE EAST NC,32334.16,24226.9,31945.86,12944.75,32170.67,4498.73
NORTHRIDGE SOUTH NC,30981.4,31394.86,26382.36,34934.67,36743.07,9481.71
NORTHRIDGE WEST NC,29897.94,25785.68,35829.78,32005.89,43106.25,7783.85
NORTHWEST SAN PEDRO NC,30445.1,31618.64,31219.96,33581.06,30937.59,7015.98
OLYMPIC PARK NC,45125.14,22221.76,22531.71,14126.32,50504.12,9277.33
P.I.C.O. NC,44433.67,20755.66,27607.1,15925.14,42273.95,3595.2
PACOIMA NC,37017.54,23825.28,33183.52,35573.55,41758.68,4117.28
PALMS NC,46535.18,31981.8,32592.82,18852.91,46201.91,4144.92
PANORAMA CITY NC,28274.64,20753.55,32993.45,39062.24,31208.29,614.99
PARK MESA HEIGHTS NC,30580.7,24793.19,10709.38,27432.34,9764.61,805.12
PICO UNION NC,26096.08,37608.69,29622.29,33891.69,35411.29,3711.4
PORTER RANCH NC,26727.19,31948.61,24424.95,26560.38,21115.38,6413.54
RAMPART VILLAGE NC,39026.27,30309.45,41845.56,23508.27,41725.88,4489.17
RESEDA NC,30627.96,38271.22,25301.58,28242.26,31322.47,13357.24
SHERMAN OAKS NC,40879.06,31488.91,34197.79,29393.73,26824.13,15936.83
SILVER LAKE NC,36611.29,38675.22,30263.37,37482.8,17834.44,2477.52
SOUTH CENTRAL NC,27569.08,22287.12,24107.96,27546.33,40508.23,1388.46
SOUTH ROBERTSON NC,30619.97,26975.61,21274.34,42818.07,28323.49,6142.98
STUDIO CITY NC,23728.71,17601.99,28394.58,36747.82,35867.41,2744.74
SUN VALLEY AREA NC,28565.49,33869.91,40159.04,32055.93,27515.39,9666.0
SUNLAND-TUJUNGA NC,35220.06,33397.74,38951.54,27532.87,31000.25,5649.78
SYLMAR NC,27096.44,31926.17,32063.19,37573.84,32779.45,8318.0
TARZANA NC,55445.37,19184.05,31755.49,35505.61,27559.15,3247.68
UNITED NEIGHBORHOODS NC,19180.95,39300.79,40038.28,30914.0,27545.35,7138.96
VAN NUYS NC,28609.05,36016.7,34385.7,22896.6,34785.13,4207.41
VENICE NC,43893.02,19118.74,38455.32,30466.27,33344.67,5010.87
VOICES NC,38127.31,27237.45,36958.93,18964.42,24379.56,12409.95
WATTS NC,32694.12,37515.66,10014.23,37241.11,14193.38,1791.65
WEST ADAMS NC,30578.76,28674.88,44400.47,22830.64,25022.53,2911.13
WEST HILLS NC,33079.14,31224.4,36539.47,27769.43,31039.89,12216.41
WEST LOS ANGELES SAWTELLE NC,37076.71,11798.3,31477.62,35366.82,33786.2,9791.72
WESTCHESTER/PLAYA NC,28688.9,34442.28,29162.31,44215.05,30222.27,6882.12
WESTLAKE NORTH NC,46843.52,31942.66,28987.31,38104.83,36754.72,2012.15
WESTLAKE SOUTH NC,56007.27,9263.42,21744.48,18768.85,8591.91,390.0
WESTSIDE NC,32225.32,46408.47,27543.27,33951.57,26944.7,1417.64
WESTWOOD NC,31897.34,20731.57,34374.69,24312.02,34848.03,3594.83
WILMINGTON NC,40335.4,31847.6,41155.07,29407.43,31737.57,5011.28
WILSHIRE CENTER - KOREATOWN NC,21655.91,3943.39,928.35,24331.03,34292.41,6152.31
WINNETKA NC,27287.97,34917.23,25606.66,29616.36,20345.85,4709.06
WOODLAND HILLS-WARNER CENTER NC,25707.94,39023.52,17723.83,36574.82,34027.47,2650.9
ZAPATA-KING NC,19949.73,33617.53,31855.67,7130.89,48016.07,2493.64
